Date              	Ashokan East Storage	Ashokan East Elevation	Ashokan West Storage	Ashokan West Elevation	Schoharie Storage	Schoharie Elevation	Rondout Storage	Rondout Elevation	Neversink Storage	Neversink Elevation	Pepacton Storage	Pepacton Elevation	Cannonsville Storage	Cannonsville Elevation
01/01/2016	71.99	581.8	39.87	582.48	18.16	1126.4	47.88	836.78	33.35	1435.62	111.68	1261.43	76.15	1135.27
01/02/2016	71.97	581.79	39.82	582.44	18.12	1126.29	47.84	836.77	33.29	1435.49	112.22	1261.77	76.86	1135.84
01/03/2016	71.93	581.76	39.76	582.36	18.15	1126.17	47.82	836.72	33.2	1435.31	112.74	1262.09	77.46	1136.36
01/04/2016	71.93	581.76	39.67	582.27	17.67	1125.85	47.92	836.69	33.07	1435.04	113.15	1262.35	77.84	1136.79
01/05/2016	72.06	581.85	39.6	582.2	17.98	1125.57	47.86	836.82	32.85	1434.58	113.35	1262.47	78.03	1137.07
01/06/2016	72.11	581.87	39.59	582.19	18.01	1125.54	47.83	836.74	32.67	1434.21	113.53	1262.58	78.07	1137.2
01/07/2016	72.07	581.85	39.62	582.22	17.96	1125.55	47.79	836.69	32.54	1433.93	113.85	1262.79	78.11	1137.23
01/08/2016	72.07	581.85	39.61	582.21	17.96	1125.48	47.59	836.64	32.43	1433.7	114.15	1262.98	78.17	1137.26
01/09/2016	72.09	581.86	39.67	582.27	18.14	1125.48	47.63	836.34	32.47	1433.79	114.45	1263.15	78.87	1137.3
01/10/2016	72.37	582.03	40.67	583.35	18.6	1126.17	47.54	836.4	32.81	1434.5	115.01	1263.5	79.92	1137.82
01/11/2016	72.44	582.08	41.79	584.56	18.3	1127.26	47.49	836.27	33.21	1435.33	115.6	1263.85	80.46	1138.57
01/12/2016	72.69	582.23	42.13	584.93	18.19	1126.41	47.68	836.19	33.3	1435.52	115.83	1263.99	80.8	1138.96
01/13/2016	73.15	582.52	41.91	584.69	18.18	1126.09	47.7	836.47	33.09	1435.09	116.11	1264.16	81.08	1139.2
01/14/2016	73.66	582.84	41.51	584.26	18.18	1126.09	47.61	836.5	32.95	1434.8	116.48	1264.38	81.4	1139.41
01/15/2016	74.16	583.15	41.08	583.79	18.16	1126.06	47.64	836.36	32.85	1434.58	116.9	1264.63	81.77	1139.64
01/16/2016	74.56	583.39	40.95	583.65	18.16	1126.09	47.65	836.41	32.79	1434.45	117.41	1264.94	82.11	1139.91
01/17/2016	74.7	583.48	40.93	583.63	18.14	1126.1	47.64	836.43	32.7	1434.27	117.88	1265.22	82.33	1140.15
01/18/2016	74.69	583.47	40.92	583.62	18.07	1125.96	47.5	836.42	32.58	1434.02	118.16	1265.39	82.46	1140.3
01/19/2016	74.68	583.46	40.83	583.53	18.04	1125.78	47.14	836.21	32.47	1433.77	118.34	1265.5	82.7	1140.39
01/20/2016	74.67	583.46	40.72	583.41	17.97	1125.68	47.12	835.67	32.46	1433.76	118.3	1265.47	82.82	1140.56
01/21/2016	74.67	583.46	40.6	583.27	17.93	1125.5	47.16	835.64	32.31	1433.43	118.45	1265.57	82.78	1140.64
01/22/2016	74.68	583.47	40.49	583.16	17.91	1125.4	47.11	835.7	32.13	1433.03	118.42	1265.54	82.67	1140.61
01/23/2016	74.67	583.46	40.49	583.15	17.89	1125.36	47.09	835.62	32.1	1432.97	118.31	1265.48	82.54	1140.53
01/24/2016	74.65	583.45	40.46	583.12	17.89	1125.29	47.1	835.59	32.11	1432.99	118.14	1265.38	82.41	1140.45
01/25/2016	74.65	583.45	40.4	583.06	17.89	1125.27	47.04	835.61	32.12	1433.01	118.05	1265.32	82.27	1140.36
